Sample,Plate_ID,Treatment ,Time_Point
17.5_D,Plate3,Constant-Warmth,D
14.5_A,Plate3,Cold-Dormancy,A
5.6_C,Plate3,Cold-Dormancy,C
13.4_A,Plate3,Constant-Warmth,A
15.2_D,Plate3,Cold-Dormancy,D
5.4_C,Plate3,Cold-Dormancy,C
10.2_D,Plate3,Cold-Dormancy,D
7.2_B,Plate3,Constant-Warmth,B
6.2_A,Plate3,Constant-Warmth,A
15.1_D,Plate3,Constant-Warmth,D
7.3_B,Plate3,Cold-Dormancy,B
12.2_B,Plate3,Constant-Warmth,B
6.2_C,Plate3,Constant-Warmth,C
8.1_B,Plate3,Constant-Warmth,B
13.4_C,Plate3,Constant-Warmth,C
14.5_B,Plate3,Cold-Dormancy,B
5.5_D,Plate3,Constant-Warmth,D
5.1_D,Plate3,Constant-Warmth,D
5.3_C,Plate3,Constant-Warmth,C
13.1_C,Plate3,Cold-Dormancy,C
5.2_B,Plate3,Cold-Dormancy,B
2.2_A,Plate3,Cold-Dormancy,A
10.5_B,Plate3,Constant-Warmth,B
11.2_C,Plate3,Constant-Warmth,C
11.2_A,Plate3,Constant-Warmth,A
17.3_B,Plate3,Constant-Warmth,B
17.5_A,Plate3,Constant-Warmth,A
8.2_C,Plate3,Cold-Dormancy,C
15.2_B,Plate3,Cold-Dormancy,B
7.1_B,Plate4,Cold-Dormancy,B
3.2_C,Plate4,Cold-Dormancy,C
10.3_A,Plate4,Constant-Warmth,A
15.4_B,Plate4,Cold-Dormancy,B
2.3_A,Plate4,Cold-Dormancy,A
11.4_C,Plate4,Constant-Warmth,C
9.2_A,Plate4,Constant-Warmth,A
13.4_B,Plate4,Constant-Warmth,B
15.5_B,Plate4,Constant-Warmth,B
8.2_B,Plate4,Cold-Dormancy,B
11.1_B,Plate4,Cold-Dormancy,B
10.3_B,Plate4,Constant-Warmth,B
9.4_A,Plate4,Constant-Warmth,A
2.4_A,Plate4,Constant-Warmth,A
11.3_D,Plate4,Cold-Dormancy,D
13.1_D,Plate4,Cold-Dormancy,D
17.2_D,Plate4,Cold-Dormancy,D
6.5_D,Plate4,Constant-Warmth,D
9.6_C,Plate4,Cold-Dormancy,C
2.4_C,Plate4,Constant-Warmth,C
6.2_B,Plate4,Constant-Warmth,B
3.4_A,Plate4,Cold-Dormancy,A
12.5_C,Plate4,Cold-Dormancy,C
11.1_A,Plate4,Cold-Dormancy,A
8.2_A,Plate4,Cold-Dormancy,A
3.2_A,Plate4,Cold-Dormancy,A
6.4_B,Plate4,Cold-Dormancy,B
10.1_D,Plate4,Constant-Warmth,D
10.3_D,Plate4,Constant-Warmth,D
12.4_D,Plate4,Cold-Dormancy,D
12.6_B,Plate4,Constant-Warmth,B
12.6_A,Plate4,Constant-Warmth,A
15.3_C,Plate4,Constant-Warmth,C
17.4_C,Plate4,Cold-Dormancy,C
12.6_D,Plate4,Constant-Warmth,D
12.2_C,Plate4,Constant-Warmth,C
3.3_D,Plate4,Constant-Warmth,D
7.1_C,Plate4,Cold-Dormancy,C
6.4_D,Plate4,Cold-Dormancy,D
7.2_C,Plate4,Constant-Warmth,C
12.4_B,Plate5,Cold-Dormancy,B
11.1_D,Plate5,Cold-Dormancy,D
10.6_C,Plate5,Cold-Dormancy,C
7.3_C,Plate5,Cold-Dormancy,C
15.4_D,Plate5,Cold-Dormancy,D
3.4_B,Plate5,Cold-Dormancy,B
14.4_C,Plate5,Constant-Warmth,C
5.5_C,Plate5,Constant-Warmth,C
5.1_B,Plate5,Constant-Warmth,B
9.1_A,Plate5,Constant-Warmth,A
14.4_B,Plate5,Constant-Warmth,B
11.2_B,Plate5,Constant-Warmth,B
6.3_B,Plate5,Cold-Dormancy,B
7.3_A,Plate5,Cold-Dormancy,A
3.2_D,Plate5,Cold-Dormancy,D
2.2_C,Plate5,Cold-Dormancy,C
7.4_C,Plate5,Constant-Warmth,C
11.1_C,Plate5,Cold-Dormancy,C
9.6_B,Plate5,Cold-Dormancy,B
11.4_D,Plate5,Constant-Warmth,D
7.3_D,Plate5,Cold-Dormancy,D
13.3_A,Plate5,Cold-Dormancy,A
10.1_B,Plate5,Constant-Warmth,B
12.5_A,Plate5,Cold-Dormancy,A
9.1_B,Plate5,Constant-Warmth,B
17.4_B,Plate5,Cold-Dormancy,B
6.5_A,Plate5,Constant-Warmth,A
3.3_A,Plate5,Constant-Warmth,A
17.4_A,Plate5,Cold-Dormancy,A
2.4_D,Plate5,Constant-Warmth,D
12.6_C,Plate5,Constant-Warmth,C
8.2_D,Plate5,Cold-Dormancy,D
11.4_A,Plate5,Constant-Warmth,A
14.4_A,Plate5,Constant-Warmth,A
13.3_C,Plate5,Cold-Dormancy,C
9.6_A,Plate5,Cold-Dormancy,A
8.1_D,Plate5,Constant-Warmth,D
9.5_D,Plate5,Constant-Warmth,D
9.5_C,Plate5,Constant-Warmth,C
13.2_D,Plate5,Constant-Warmth,D
6.1_B,Plate6,Constant-Warmth (excluded from experiment),B
15.1_A,Plate6,Constant-Warmth,A
15.4_C,Plate6,Cold-Dormancy,C
9.3_D,Plate6,Cold-Dormancy,D
12.5_D,Plate6,Cold-Dormancy,D
5.2_A,Plate6,Cold-Dormancy,A
6.3_A,Plate6,Cold-Dormancy,A
9.3_B,Plate6,Cold-Dormancy,B
14.4_D,Plate6,Constant-Warmth,D
10.5_C,Plate6,Constant-Warmth,C
15.5_C,Plate6,Constant-Warmth,C
10.2_C,Plate6,Cold-Dormancy,C
6.5_C,Plate6,Constant-Warmth,C
5.4_A,Plate6,Cold-Dormancy,A
2.3_B,Plate6,Cold-Dormancy,B
7.4_B,Plate6,Constant-Warmth,B
9.2_B,Plate6,Constant-Warmth,B
7.5_B,Plate6,Cold-Dormancy,B
6.5_B,Plate6,Constant-Warmth,B
6.1_C,Plate6,Constant-Warmth (excluded from experiment),C
3.4_D,Plate6,Cold-Dormancy,D
13.1_B,Plate6,Cold-Dormancy,B
12.4_C,Plate6,Cold-Dormancy,C
5.6_D,Plate6,Cold-Dormancy,D
10.3_C,Plate6,Constant-Warmth,C
11.3_C,Plate6,Cold-Dormancy,C
6.1_A,Plate6,Constant-Warmth (excluded from experiment),A
6.1_D,Plate6,Constant-Warmth (excluded from experiment),D
10.5_A,Plate6,Constant-Warmth,A
6.2_D,Plate6,Constant-Warmth,D
5.2_D,Plate6,Cold-Dormancy,D
6.3_C,Plate6,Cold-Dormancy,C
11.4_B,Plate6,Constant-Warmth,B
10.4_A,Plate6,Cold-Dormancy,A
7.2_A,Plate6,Constant-Warmth,A
5.6_B,Plate6,Cold-Dormancy,B
9.2_D,Plate6,Constant-Warmth,D
13.2_A,Plate6,Constant-Warmth,A
5.6_A,Plate6,Cold-Dormancy,A
15.5_D,Plate6,Constant-Warmth,D
