Clutch_ID,TRIG,CV,Treatment ,OutsideCurve,Date,Plate,Plasma Appearance,Notes
17.4 (D),-0.142857143,5.656854249,Cold-Dormancy,Y,11/27/2024,2,U,
15.1 (D),95.57142857,5.949765796,Constant-Warmth,N,11/27/2024,2,U,
12.2 (A),143.4285714,9.026895079,Constant-Warmth,N,11/27/2024,2,U,
3.1 (C),94.14285714,7.83115002,Cold-Dormancy,N,11/27/2024,2,U,
13.1 (A),5.571428571,6.955148667,Cold-Dormancy,N,11/27/2024,2,U,
9.4 (C),102,0.889442492,Constant-Warmth,N,11/27/2024,2,U,
6.4 (D) ,-40.14285714,1.188414758,Cold-Dormancy,Y,11/27/2024,2,U,
13.1 (C),57,7.2097162,Cold-Dormancy,N,11/27/2024,2,U,
GH_Pool,110.8,10.94875016,POOL,N,11/29/2024,3,U,
2.2 (A),73.8,2.39697214,POOL,N,11/29/2024,3,U,
5.4 (A),25.3,9.156778461,Cold-Dormancy,N,11/29/2024,3,U,
7.1 (D),51.3,2.221277847,Cold-Dormancy,N,11/29/2024,3,U,
5.3 (A),33.8,0,Constant-Warmth,N,11/29/2024,3,U,
2.2 (A),70.3,0.617560508,POOL,N,11/29/2024,3,U,
6.2 (A),33.3,8.21156262,Constant-Warmth,N,11/29/2024,3,U,
10.6 (A),55.3,9.238581061,Cold-Dormancy,N,11/29/2024,3,U,
9.3 (D),98.8,6.922723732,Cold-Dormancy,N,11/29/2024,3,U,
11.2 (A),89.3,1.589004003,Constant-Warmth,N,11/29/2024,3,U,
5.4 (C),39.8,3.367175149,Cold-Dormancy,N,11/29/2024,3,U,
5.3 (D),141.8,1.520659744,Constant-Warmth,N,11/29/2024,3,U,
11.2 (C),80.3,6.247529794,Constant-Warmth,N,11/29/2024,3,U,
6.2 (C),48.8,3.041319489,Constant-Warmth,N,11/29/2024,3,U,
14.5 (C),28.3,0.975319698,Cold-Dormancy,N,11/29/2024,3,U,
7.2 (A),75.3,4.142048091,Constant-Warmth,N,11/29/2024,3,U,
9.6 (C) ,60.8,47.14045208,Cold-Dormancy,N,11/29/2024,3,U,
14.5 (A),43.8,4.821182599,Cold-Dormancy,N,11/29/2024,3,U,
13.4 (A),50.3,0.748261144,Constant-Warmth,N,11/29/2024,3,U,
BLANK,0.3,1.589004003,BLANK,N,11/29/2024,3,U,
17.5 (D),131.3,6.849467396,Constant-Warmth,N,11/29/2024,3,U,
13.4 (C),106.8,4.682826365,Constant-Warmth,N,11/29/2024,3,Lysed,
7.2 (D),126.8,8.270254751,Constant-Warmth,N,11/29/2024,3,U,
2.2 (A),73.3,3.008965026,POOL,N,11/29/2024,3,U,
9.6 (A) ,82.3,1.676933078,Cold-Dormancy,N,11/29/2024,3,U,
9.3 (A),39.3,2.540503405,Cold-Dormancy,N,11/29/2024,3,U,
17.5 (C),16.3,3.506314617,Constant-Warmth,N,11/29/2024,3,U,
5.3 (C),156.8,0.703588837,Constant-Warmth,N,11/29/2024,3,U,
5.4 (D),73.3,1.805379016,Cold-Dormancy,N,11/29/2024,3,U,
10.6 (C),33.8,3.626188621,Cold-Dormancy,N,11/29/2024,3,U,
17.5 (A),159.8,0,Constant-Warmth,N,11/29/2024,3,U,bubbles while pipetting
6.2 (D),134.3,5.942073791,Constant-Warmth,N,11/29/2024,3,U,
10.6 (D),87.8,57.85419119,Cold-Dormancy,N,11/29/2024,3,U,
14.5 (D),28.8,3.874557705,Cold-Dormancy,N,11/29/2024,3,U,
13.4 (D),91.3,1.565550069,Constant-Warmth,N,11/29/2024,3,U,
11.2 (D),161.3,9.978635842,Constant-Warmth,N,11/29/2024,3,U,
9.3 (C),35.3,6.226097444,Cold-Dormancy,N,11/29/2024,3,U,bubbles while pipetting
7.1 (A),149.8,1.457952126,Cold-Dormancy,N,11/29/2024,3,U,
7.2 (C),53.3,5.07666407,Constant-Warmth,N,11/29/2024,3,U,
9.6 (D) ,46.3,0.78133346,Cold-Dormancy,N,11/29/2024,3,U,
7.1 (C),33.8,1.813094311,Cold-Dormancy,N,11/29/2024,3,U,
GH_Pool,118.6,3.008965026,POOL,N,11/29/2024,4,U,
5.5 (A),106.6,6.027795512,Constant-Warmth,N,11/29/2024,4,U,
3.2 (A),51.1,17.49542551,Cold-Dormancy,N,11/29/2024,4,U,
2.2 (A),74.6,1.76043182,POOL,N,11/29/2024,4,U,
12.6 (A),47.1,4.561979233,Constant-Warmth,N,11/29/2024,4,U,
5.5 (D),151.1,0.717874905,Constant-Warmth,N,11/29/2024,4,U,
6.5 (A),43.1,7.945020013,Constant-Warmth,N,11/29/2024,4,U,
2.2 (A),73.6,2.958605779,POOL,N,11/29/2024,4,U,
13.1 (D),89.6,6.784050299,Cold-Dormancy,N,11/29/2024,4,U,
9.5 (A),66.1,3.788072042,Constant-Warmth,N,11/29/2024,4,U,
3.2 (C),56.6,3.449301372,Cold-Dormancy,N,11/29/2024,4,U,
12.6 (D),47.6,3.781319685,Constant-Warmth,N,11/29/2024,4,U,
9.5 (C),84.6,11.37872981,Constant-Warmth,N,11/29/2024,4,U,
6.5 (C),113.1,10.6733099,Constant-Warmth,N,11/29/2024,4,U,
12.4 (C),43.1,4.767012008,Cold-Dormancy,N,11/29/2024,4,U,
13.2 (A),118.6,5.588077906,Constant-Warmth,N,11/29/2024,4,U,
6.4 (C) ,44.1,3.142696805,Cold-Dormancy,N,11/29/2024,4,Lysed,
12.4 (A),64.1,5.142594772,Cold-Dormancy,N,11/29/2024,4,U,
13.4 (A),54.6,2.110766511,Constant-Warmth,N,11/29/2024,4,U,bubbles while pipetting
5.5 (C),136.6,29.83409433,Constant-Warmth,N,11/29/2024,4,U,
17.5 (D),129.6,0.402909847,Constant-Warmth,N,11/29/2024,4,U,
13.4 (C),101.1,4.810250212,Constant-Warmth,N,11/29/2024,4,U,bubbles while pipetting
13.2 (D),118.6,2.149260733,Constant-Warmth,N,11/29/2024,4,U,
2.2 (A),73.1,1.188414758,POOL,N,11/29/2024,4,U,
6.4 (A) ,15.1,2.318382889,Cold-Dormancy,N,11/29/2024,4,Lysed,
13.1 (A),45.1,1.554080838,Cold-Dormancy,N,11/29/2024,4,U,
17.5 (C),25.6,18.79025013,Constant-Warmth,N,11/29/2024,4,U,bubbles while pipetting
12.6 (C),48.1,4.513447539,Constant-Warmth,N,11/29/2024,4,U,
3.2 (D),222.6,1.843481366,Cold-Dormancy,N,11/29/2024,4,U,
BLANK,-1.4,4.767012008,BLANK,Y,11/29/2024,4,U,
17.5 (A),142.1,6.017930053,Constant-Warmth,N,11/29/2024,4,U,bubbles while pipetting
6.5 (D),109.1,0.912395847,Constant-Warmth,N,11/29/2024,4,U,
BLANK,-0.4,1.554080838,BLANK,Y,11/29/2024,4,U,
12.4 (D),90.1,2.079725827,Cold-Dormancy,N,11/29/2024,4,U,
13.4 (D),90.1,2.079725827,Constant-Warmth,N,11/29/2024,4,U,
9.5 (A),43.1,6.356016011,Constant-Warmth,N,11/29/2024,4,U,
13.1 (C),76.1,9.273531557,Cold-Dormancy,Y,11/29/2024,4,U,
BLANK,-2.4,1.62553283,Cold-Dormancy,N,11/29/2024,4,U,
6.4 (D) ,22.6,9.290454059,Cold-Dormancy,N,11/29/2024,4,U,
BLANK,4.6,9.801480135,BLANK,Y,11/29/2024,4,U,
2.2 (A),76.7,2.280989617,POOL,N,11/29/2024,5,U,
10.1 (A),79.2,0.558977693,Constant-Warmth,N,11/29/2024,5,U,
15.2 (A),76.7,5.702474042,Cold-Dormancy,N,11/29/2024,5,U,
10.1 (D),4.7,0,Constant-Warmth,N,11/29/2024,5,U,
12.5 (A),78.2,0.563431698,Cold-Dormancy,N,11/29/2024,5,U,
10.1 (C),59.2,0.663950029,Constant-Warmth,N,11/29/2024,5,U,
9.3 (D),102.7,2.828427125,Cold-Dormancy,N,11/29/2024,5,U,
15.2 (C),34.2,0.867615682,Cold-Dormancy,N,11/29/2024,5,U,
2.2 (A),68.7,1.219149623,POOL,N,11/29/2024,5,U,
12.5 (C),17.2,1.096289583,Cold-Dormancy,N,11/29/2024,5,U,
15.1 (D),87.7,1.047565602,Constant-Warmth,N,11/29/2024,5,U,
15.1 (A),36.7,5.050762723,Constant-Warmth,N,11/29/2024,5,U,barely enough for duplicate + bubbles when pipetting
9.3 (C),27.7,1.885618083,Cold-Dormancy,N,11/29/2024,5,U,
15.1 (C),40.2,0.808122036,Constant-Warmth,N,11/29/2024,5,U,
15.2 (D),54.2,80.11554664,Cold-Dormancy,N,11/29/2024,5,U,Not enough for duplicate
12.5 (D),139.2,0.379145727,Cold-Dormancy,N,11/29/2024,5,U,
9.3 (A),56.2,15.71348403,Cold-Dormancy,N,11/29/2024,5,U,
